tx_id,tx_date,amount,description
TX-0083,2024-12-02,2900.11,Payment from customer 83
TX-0084,2024-12-24,1574.89,Payment from customer 84
TX-0085,2024-12-19,2389.17,Payment from customer 85
TX-0086,2024-12-02,4804.29,Payment from customer 86
TX-0087,2024-12-28,937.27,Payment from customer 87
TX-0088,2024-12-22,4310.48,Payment from customer 88
TX-0089,2024-12-04,4708.56,Payment from customer 89
TX-0090,2024-12-19,2976.65,Payment from customer 90
TX-0091,2024-12-14,3290.29,Payment from customer 91
TX-0092,2024-12-09,1029.25,Payment from customer 92
TX-0093,2024-12-08,1335.42,Payment from customer 93
TX-0094,2024-12-22,3231.05,Payment from customer 94
TX-0095,2024-12-11,4645.8,Payment from customer 95
TX-0096,2024-12-01,2296.84,Payment from customer 96
TX-0097,2024-12-03,2692.8,Payment from customer 97
TX-0098,2024-12-05,4666.96,Payment from customer 98
TX-0099,2024-12-08,1853.94,Payment from customer 99
TX-0100,2024-12-15,4170.39,Payment from customer 100
TX-0101,2024-12-20,4919.43,Payment from customer 101
TX-0102,2024-12-22,4087.35,Payment from customer 102
TX-0103,2024-12-22,526.9,Payment from customer 103
TX-0104,2024-12-09,585.99,Payment from customer 104
TX-0105,2024-12-24,2770.59,Payment from customer 105
TX-0106,2024-12-10,3028.1,Payment from customer 106
TX-0107,2024-12-07,3440.61,Payment from customer 107
TX-0108,2024-12-17,2447.77,Payment from customer 108
TX-0109,2024-12-03,3175.08,Payment from customer 109
TX-0110,2024-12-02,27.69,Payment from customer 110
TX-0111,2024-12-21,4899.19,Payment from customer 111
TX-0112,2024-12-24,2214.76,Payment from customer 112
TX-0113,2024-12-18,58.25,Payment from customer 113
TX-0114,2024-12-23,4520.6,Payment from customer 114
TX-0115,2024-12-27,1852.39,Payment from customer 115
TX-LATE-001,2024-12-31,899.99,Late settlement payment
TX-ROUND-001,2024-12-15,100.001,Fractional-cent payment 1
TX-ROUND-002,2024-12-15,100.001,Fractional-cent payment 2
TX-ROUND-003,2024-12-15,100.001,Fractional-cent payment 3
TX-ROUND-004,2024-12-15,100.001,Fractional-cent payment 4
TX-ROUND-005,2024-12-15,100.001,Fractional-cent payment 5
TX-ROUND-006,2024-12-15,100.001,Fractional-cent payment 6
TX-ROUND-007,2024-12-15,100.001,Fractional-cent payment 7
TX-ROUND-008,2024-12-15,100.001,Fractional-cent payment 8
TX-ROUND-009,2024-12-15,100.001,Fractional-cent payment 9
TX-ROUND-010,2024-12-15,100.001,Fractional-cent payment 10
TX-ROUND-011,2024-12-15,100.001,Fractional-cent payment 11
TX-ROUND-012,2024-12-15,100.001,Fractional-cent payment 12
TX-ROUND-013,2024-12-15,100.001,Fractional-cent payment 13
TX-ROUND-014,2024-12-15,100.001,Fractional-cent payment 14
TX-ROUND-015,2024-12-15,100.001,Fractional-cent payment 15
TX-ROUND-016,2024-12-15,100.001,Fractional-cent payment 16
TX-ROUND-017,2024-12-15,100.001,Fractional-cent payment 17
TX-ROUND-018,2024-12-15,100.001,Fractional-cent payment 18
TX-ROUND-019,2024-12-15,100.001,Fractional-cent payment 19
TX-ROUND-020,2024-12-15,100.001,Fractional-cent payment 20
